Drug Name,File,Field Count,Has 14 Fields,Missing Fields,Status
Teprotumumab,drug_modules\oncology\monoclonal_antibodies_adcs.py,24,Yes,None,Complete
Terbinafine topical,drug_modules\dermatology.py,23,Yes,None,Complete
Terbutaline,drug_modules\respiratory\short_acting_beta_2_agonist_sabas.py,22,Yes,None,Complete
Teriparatide,drug_modules\endocrinology_other\osteoporosis_other.py,24,Yes,None,Complete
Testosterone,drug_modules\endocrinology_other\sex_hormones.py,23,Yes,None,Complete
Tetrabenazine,drug_modules\neurological\antiparkinsonian.py,23,Yes,None,Complete
Tetracycline,drug_modules\antimicrobial\antibiotics\tetracyclines.py,27,Yes,None,Complete
Tezepelumab,drug_modules\miscellaneous\biological_drugs.py,25,Yes,None,Complete
Theophylline,drug_modules\respiratory\methylxanthines.py,24,Yes,None,Complete
Thiopental,drug_modules\supportive\sedatives_anesthetics_icu.py,25,Yes,None,Complete
Ticagrelor,drug_modules\cardiovascular\anticoagulants.py,27,Yes,None,Complete
Ticlopidine,drug_modules\cardiovascular_other\antiplatelets.py,27,Yes,None,Complete
Tigecycline,drug_modules\infectious_other\tetracyclines.py,23,Yes,None,Complete
Timolol,drug_modules\cardiovascular\beta_blockers\non_selective.py,23,Yes,None,Complete
Timolol eye drops,drug_modules\ophthalmology.py,23,Yes,None,Complete
Tiotropium,drug_modules\respiratory\anticholinergic_long_actings.py,23,Yes,None,Complete
Tiotropium/Olodaterol inhaler,drug_modules\respiratory\combination_inhalers.py,25,Yes,None,Complete
Tirzepatide,drug_modules\diabetes\glp1_agonists.py,26,Yes,None,Complete
Tizanidine,drug_modules\neurological\muscle_relaxants.py,22,Yes,None,Complete
Tobramycin,drug_modules\antimicrobial\antibiotics\aminoglycosides.py,27,Yes,None,Complete
Tobramycin eye drops,drug_modules\ophthalmology.py,23,Yes,None,Complete
Tocilizumab,drug_modules\miscellaneous\biological_drugs.py,23,Yes,None,Complete
Tofacitinib,drug_modules\gastrointestinal\jak_inhibitors.py,24,Yes,None,Complete
Tolterodine,drug_modules\urology.py,24,Yes,None,Complete
Topiramate,drug_modules\neurological\anticonvulsants.py,22,Yes,None,Complete
Topotecan,drug_modules\oncology\topoisomerase_inhibitors.py,23,Yes,None,Complete
Torsemide,drug_modules\cardiovascular\diuretics.py,16,Yes,None,Complete
Tramadol,drug_modules\analgesics\opioid_agonists.py,24,Yes,None,Complete
Tranexamic acid,drug_modules\hematology.py,24,Yes,None,Complete
Tranylcypromine,drug_modules\psychiatry_other\antidepressants.py,23,Yes,None,Complete
Trastuzumab,drug_modules\miscellaneous\biological_drugs.py,23,Yes,None,Complete
Trastuzumab deruxtecan,drug_modules\oncology\monoclonal_antibodies_adcs.py,24,Yes,None,Complete
Travoprost,drug_modules\ophthalmology.py,23,Yes,None,Complete
Trazodone,drug_modules\psychiatry_other\antidepressants.py,23,Yes,None,Complete
Tretinoin topical,drug_modules\dermatology.py,24,Yes,None,Complete
Triamcinolone topical,drug_modules\dermatology.py,23,Yes,None,Complete
Trimebutine,drug_modules\gastrointestinal\antispasmodics.py,25,Yes,None,Complete
Trimethoprim-sulfamethoxazole,drug_modules\antimicrobial\antibiotics\sulfonamides.py,27,Yes,None,Complete
Tropicamide eye drops,drug_modules\ophthalmology.py,23,Yes,None,Complete
Ubrogepant,drug_modules\neurological\migraine_cgrp_drugs.py,23,Yes,None,Complete
Umeclidinium,drug_modules\respiratory\anticholinergic_long_actings.py,23,Yes,None,Complete
Umeclidinium/Vilanterol inhaler,drug_modules\respiratory\combination_inhalers.py,25,Yes,None,Complete
Upadacitinib,drug_modules\gastrointestinal\jak_inhibitors.py,24,Yes,None,Complete
Ustekinumab,drug_modules\miscellaneous\biological_drugs.py,23,Yes,None,Complete
Valacyclovir,drug_modules\antimicrobial\antivirals\herpes.py,23,Yes,None,Complete
Valproate,drug_modules\neurological\anticonvulsants.py,26,Yes,None,Complete
Valsartan,drug_modules\cardiovascular\arbs.py,26,Yes,None,Complete
Vancomycin,drug_modules\antimicrobial\antibiotics\glycopeptides.py,27,Yes,None,Complete
Vardenafil,drug_modules\urology.py,24,Yes,None,Complete
Vasopressin,drug_modules\emergency\catecholamine_alpha__beta_agonists.py,25,Yes,None,Complete
Vecuronium,drug_modules\emergency\neuromuscular_blockers.py,25,Yes,None,Complete
Vedolizumab,drug_modules\miscellaneous\biological_drugs.py,23,Yes,None,Complete
Venlafaxine,drug_modules\psychiatry_other\snris.py,22,Yes,None,Complete
Verapamil,drug_modules\cardiovascular\calcium_blockers\non_dihydropyridines.py,23,Yes,None,Complete
Vericiguat,drug_modules\cardiovascular\other_cv.py,24,Yes,None,Complete
Vilanterol,drug_modules\respiratory\long_acting_beta_2_agonist_labas.py,23,Yes,None,Complete
Vildagliptin,drug_modules\diabetes\dpp_4_inhibitors.py,25,Yes,None,Complete
Vincristine,drug_modules\oncology\vinca_alkaloids.py,23,Yes,None,Complete
Vinpocetine,drug_modules\neurological\cerebral_circulation.py,24,Yes,None,Complete
Vitamin B12,drug_modules\supportive\vitamin_b12s.py,24,Yes,None,Complete
Vitamin C,drug_modules\miscellaneous\vitamins.py,22,Yes,None,Complete
Vitamin D,drug_modules\supportive\vitamin_ds.py,24,Yes,None,Complete
Vitamin D3 (Cholecalciferol),drug_modules\miscellaneous\vitamins.py,24,Yes,None,Complete
Vitamin E,drug_modules\miscellaneous\vitamins.py,22,Yes,None,Complete
Vitamin K,drug_modules\hematology.py,24,Yes,None,Complete
Vonoprazan,drug_modules\gastrointestinal\pcab.py,22,Yes,None,Complete
Voriconazole,drug_modules\antimicrobial\antifungals\azoles.py,24,Yes,None,Complete
Warfarin,drug_modules\cardiovascular\anticoagulants.py,24,Yes,None,Complete
Zafirlukast,drug_modules\respiratory\leukotriene_receptor_antagonists.py,23,Yes,None,Complete
Zanamivir,drug_modules\antimicrobial\antivirals\influenza.py,27,Yes,None,Complete
Ziprasidone,drug_modules\psychiatry_other\antipsychotics.py,23,Yes,None,Complete
Zoledronic acid,drug_modules\emergency\electrolytes.py,23,Yes,None,Complete
Zonisamide,drug_modules\neurological\anticonvulsants.py,23,Yes,None,Complete
